SampleID	BD_strain	Day0	Day3	Day5	Day7	Slope	Per_growth	Per_inhib
Acetate	Jel197	0.22	0.367	0.769	1.503	0.177411215	95.73513096	4.264869045
Acetate	Jel197	0.197	0.353	0.751	1.591	0.190878505	103.0023871	-3.002387116
Acetate	Jel197	0.154	0.372	0.763	1.561	0.19328972	104.3035336	-4.303533605
Arabinose	Jel197	0.17	0.36	0.69	1.42	0.170841121	92.18975893	7.810241065
Arabinose	Jel197	0.18	0.37	0.72	1.45	0.174205607	94.00531217	5.994687826
Arabinose	Jel197	0.17	0.38	0.7	1.44	0.17317757	93.4505598	6.549440204
Citrate	Jel197	0.216	0.359	0.754	1.473	0.173850467	93.81367044	6.186329557
Citrate	Jel197	0.194	0.346	0.736	1.559	0.186906542	100.8590257	-0.859025653
Citrate	Jel197	0.151	0.365	0.748	1.53	0.189439252	102.2257338	-2.225733786
Dextrose	Jel197	0.22	0.36	0.754	1.473	0.173261682	93.49594863	6.504051373
Dextrose	Jel197	0.24	0.346	0.736	1.56	0.180579439	97.44477692	2.555223078
Dextrose	Jel197	0.19	0.365	0.748	1.53	0.183971963	99.27545977	0.724540228
Fructose	Jel197	0.24	0.353	0.677	1.492	0.169364486	91.39293279	8.607067209
Fructose	Jel197	0.22	0.363	0.706	1.471	0.170691589	92.10906768	7.89093232
Fructose	Jel197	0.2	0.373	0.686	1.492	0.174831776	94.3432068	5.656793195
Galactose	Jel197	0.211	0.352	0.738	1.444	0.170476636	91.993074	8.006925999
Galactose	Jel197	0.19	0.339	0.721	1.528	0.183196262	98.85687389	1.143126114
Galactose	Jel197	0.148	0.357	0.733	1.499	0.185616822	100.1630636	-0.163063578
Heart infusion	Jel197	0.222	0.37	0.776	1.518	0.179196262	96.69838281	3.301617187
Heart infusion	Jel197	0.199	0.357	0.758	1.607	0.192757009	104.016071	-4.016071008
Heart infusion	Jel197	0.155	0.376	0.771	1.576	0.195233645	105.3525199	-5.352519921
Heat killed zoospores	Jel197	0.122	0.132	0.132	0.131	0.001280374	0.690918872	99.30908113
Heat killed zoospores	Jel197	0.22	0.208	0.219	0.208	-0.001168224	-0.63040043	100.6304004
Heat killed zoospores	Jel197	0.271	0.231	0.225	0.238	-0.005037383	-2.718286656	102.7182867
Lactose	Jel197	0.18	0.34	0.721	1.527	0.184448598	99.53266315	0.467336852
Lactose	Jel197	0.19	0.358	0.733	1.498	0.179579439	96.90515415	3.094845846
Lactose	Jel197	0.17	0.352	0.738	1.443	0.176102804	95.02908247	4.970917527
LB	Jel197	0.227	0.378	0.792	1.548	0.182663551	98.56941129	1.43058871
LB	Jel197	0.203	0.364	0.774	1.639	0.196635514	106.1090004	-6.109000437
LB	Jel197	0.158	0.383	0.786	1.608	0.199205607	107.4958814	-7.495881384
M9	Jel197	0.222	0.371	0.778	1.521	0.179626168	96.93037017	3.069629829
M9	Jel197	0.2	0.357	0.76	1.61	0.193074766	104.1875399	-4.187539925
M9	Jel197	0.156	0.377	0.772	1.579	0.195476636	105.4836432	-5.48364321
Malt extract	Jel197	0.224	0.374	0.784	1.532	0.180878505	97.60615943	2.393840568
Malt extract	Jel197	0.201	0.36	0.766	1.622	0.194588785	105.0045389	-5.004538883
Malt extract	Jel197	0.157	0.379	0.778	1.591	0.197018692	106.3157718	-6.315771778
Mannitol	Jel197	0.21	0.35	0.733	1.434	0.169224299	91.31728474	8.682715261
Mannitol	Jel197	0.188	0.337	0.716	1.517	0.181962617	98.19117103	1.808828968
Mannitol	Jel197	0.147	0.355	0.728	1.489	0.184364486	99.48727432	0.512725683
Mannose	Jel197	0.217	0.362	0.758	1.482	0.174906542	94.38355243	5.616447567
Mannose	Jel197	0.195	0.348	0.741	1.569	0.188158879	101.5348149	-1.534814914
Mannose	Jel197	0.152	0.367	0.753	1.539	0.190570093	102.8359614	-2.835961403
Negative	Jel197	0.216	0.132	0.13	0.13	-0.01211215	-6.535991662	106.5359917
Negative	Jel197	0.199	0.123	0.104	0.19	-0.003401869	-1.835726053	101.8357261
Negative	Jel197	0.289	0.232	0.292	0.297	0.00271028	1.462528998	98.537471
Nutrient depleted	Jel197	0.219	0.322	0.333	0.314	0.013981308	7.54463235	92.45536765
Nutrient depleted	Jel197	0.217	0.453	0.321	0.242	0.001280374	0.690918872	99.30908113
Nutrient depleted	Jel197	0.164	0.55	0.444	0.529	0.046607477	25.15045557	74.84954443
Peptone	Jel197	0.222	0.37	0.775	1.516	0.178906542	96.54204351	3.457956494
Peptone	Jel197	0.199	0.356	0.757	1.604	0.192373832	103.8092997	-3.809299667
Peptone	Jel197	0.155	0.375	0.77	1.574	0.194971963	105.2113102	-5.211310224
Positive	Jel197	0.218	0.363	0.761	1.488	0.175607477	94.76179269	5.238207309
Positive	Jel197	0.196	0.35	0.744	1.575	0.188831776	101.8979256	-1.897925562
Positive	Jel197	0.152	0.369	0.756	1.546	0.191504673	103.3402817	-3.340281747
Pyruvate	Jel197	0.223	0.371	0.779	1.522	0.179654206	96.94549978	3.054500219
Pyruvate	Jel197	0.2	0.358	0.761	1.611	0.193214953	104.263188	-4.263187977
Pyruvate	Jel197	0.156	0.377	0.773	1.581	0.195766355	105.6399825	-5.639982517
R2A	Jel197	0.234	0.39	0.817	1.598	0.188588785	101.7668023	-1.766802273
R2A	Jel197	0.21	0.376	0.799	1.692	0.202925234	109.5030764	-9.503076354
R2A	Jel197	0.163	0.396	0.812	1.66	0.205672897	110.9857782	-10.98577817
Succinate	Jel197	0.212	0.353	0.74	1.446	0.17064486	92.08385166	7.916148337
Succinate	Jel197	0.19	0.34	0.722	1.53	0.183457944	98.99808358	1.001916417
Succinate	Jel197	0.148	0.358	0.734	1.501	0.185878505	100.3042733	-0.304273274
Thiamine	Jel197	0.17	0.363	0.76	1.486	0.182046729	98.23655986	1.763440137
Thiamine	Jel197	0.17	0.349	0.742	1.572	0.192046729	103.6327875	-3.632787547
