Strain	Carbon_source	BdStrain	Spearman_rho	p_value	Significant	N	comparison
1	HP1C	Acetate	Jel197	0.2	0.916666666666667	FALSE	4	Temp600
2	HP1C	Acetate	Jel423	0.2	0.916666666666667	FALSE	4	Temp600
3	HP1C	Arabinose	Jel197	-0.7	0.233333333333333	FALSE	5	Temp600
4	HP1C	Arabinose	Jel423	-0.7	0.233333333333333	FALSE	5	Temp600
5	HP1C	Citrate	Jel197	0.2	0.916666666666667	FALSE	4	Temp600
6	HP1C	Citrate	Jel423	0.2	0.916666666666667	FALSE	4	Temp600
7	HP1C	Dextrose	Jel197	-0.7	0.233333333333333	FALSE	5	Temp600
8	HP1C	Dextrose	Jel423	-0.7	0.233333333333333	FALSE	5	Temp600
9	HP1C	Fructose	Jel197	0.1	0.95	FALSE	5	Temp600
10	HP1C	Fructose	Jel423	0.1	0.95	FALSE	5	Temp600
11	HP1C	Galactose	Jel197	-0.4	0.75	FALSE	4	Temp600
12	HP1C	Galactose	Jel423	-0.4	0.75	FALSE	4	Temp600
13	HP1C	Heart infusion	Jel197	-0.4	0.75	FALSE	4	Temp600
14	HP1C	Heart infusion	Jel423	-0.4	0.75	FALSE	4	Temp600
15	HP1C	LB	Jel197	-0.8	0.333333333333333	FALSE	4	Temp600
16	HP1C	LB	Jel423	-0.8	0.333333333333333	FALSE	4	Temp600
17	HP1C	Lactose	Jel197	-0.9	0.0833333333333333	FALSE	5	Temp600
18	HP1C	Lactose	Jel423	-0.9	0.0833333333333333	FALSE	5	Temp600
19	HP1C	Malt extract	Jel197	-0.4	0.75	FALSE	4	Temp600
20	HP1C	Malt extract	Jel423	-0.4	0.75	FALSE	4	Temp600
21	HP1C	Mannitol	Jel197	-0.4	0.75	FALSE	4	Temp600
22	HP1C	Mannitol	Jel423	-0.4	0.75	FALSE	4	Temp600
23	HP1C	Mannose	Jel197	-0.9	0.0833333333333333	FALSE	5	Temp600
24	HP1C	Mannose	Jel423	-0.9	0.0833333333333333	FALSE	5	Temp600
25	HP1C	N-acetyl glucosamine	Jel197	-0.7	0.233333333333333	FALSE	5	Temp600
26	HP1C	N-acetyl glucosamine	Jel423	-0.7	0.233333333333333	FALSE	5	Temp600
27	HP1C	Peptone	Jel197	-0.4	0.75	FALSE	4	Temp600
28	HP1C	Peptone	Jel423	-0.4	0.75	FALSE	4	Temp600
29	HP1C	Pyruvate	Jel197	0.4	0.75	FALSE	4	Temp600
30	HP1C	Pyruvate	Jel423	0.4	0.75	FALSE	4	Temp600
31	HP1C	R2A	Jel197	-0.8	0.333333333333333	FALSE	4	Temp600
32	HP1C	R2A	Jel423	-0.8	0.333333333333333	FALSE	4	Temp600
33	HP1C	Succinate	Jel197	-0.8	0.333333333333333	FALSE	4	Temp600
34	HP1C	Succinate	Jel423	-0.8	0.333333333333333	FALSE	4	Temp600
35	HP1C	Tryptone	Jel197	0.2	0.916666666666667	FALSE	4	Temp600
36	HP1C	Tryptone	Jel423	0.2	0.916666666666667	FALSE	4	Temp600
37	HP1C	Xylose	Jel197	-0.9	0.0833333333333333	FALSE	5	Temp600
38	HP1C	Xylose	Jel423	-0.9	0.0833333333333333	FALSE	5	Temp600
